x,y+1,data[0],data[1],data[2],data[3]
0.40455007553100586,0.8080981572469076,-6,-17,-78,-71
0.04333972930908203,0.7117886225382487,0,-12,-89,-63
0.3026104927062988,1.034143829345703,-5,-10,-88,-70
-0.22479696273803712,0.46444129943847656,4,-21,-80,-61
-0.3719016075134277,0.9932668050130208,10,-7,-93,-65
-0.6007577896118164,0.4066158612569173,14,-23,-79,-57
0.6124408721923829,0.8130016962687174,-13,-14,-83,-70
0.13523340225219727,0.6519039154052735,0,-10,-92,-57
-0.20696072578430175,1.3425094604492187,4,-4,-94,-75
0.17235298156738282,1.1860697428385416,0,-10,-87,-72
0.607188606262207,0.8637494405110677,-8,-14,-85,-64
-0.6412251234054566,1.3082647959391276,16,-19,-77,-82
-0.036206817626953124,0.9104357401529948,0,-11,-87,-70
0.3752314567565918,0.7826028188069661,-5,-18,-80,-67
-0.09443988800048828,0.8903738021850586,2,-6,-93,-63
0.49443607330322265,1.1298891703287761,-11,-8,-87,-75
-0.1895833969116211,1.2441037495930989,4,-18,-78,-82
-0.2824422359466553,0.7337217966715495,7,-16,-85,-65
0.36330547332763674,0.8139643351236979,-3,-14,-84,-68
-0.6013696908950805,1.2943209330240886,13,-12,-85,-78
0.6048698425292969,1.0473735173543295,-9,-13,-83,-72
-0.4574160099029541,0.6836062749226888,9,-16,-83,-64
-0.6454531431198121,1.5736881256103517,18,-18,-78,-85
-0.19355897903442382,1.5905340830485026,6,-12,-85,-86
0.6012264251708984,1.614028294881185,-11,-12,-81,-91
0.4288019180297852,1.1874125162760416,-8,-11,-85,-76
0.5316116333007812,0.6839399337768555,-8,-16,-84,-62
-0.5380590438842774,0.40251706441243484,10,-36,-63,-68
-0.02816352844238281,0.41173830032348635,0,-26,-76,-62
-0.0360870361328125,0.5572924931844075,1,-19,-81,-65
0.5248405456542968,0.841136360168457,-6,-16,-81,-73
-0.5416941165924072,0.9494476954142252,12,-17,-83,-70
-0.09225893020629883,0.6315526326497396,4,-18,-83,-66
-0.041413402557373045,1.208157221476237,4,-16,-81,-78
0.6188095092773438,1.0771891276041667,-8,-14,-83,-74
-0.6292844295501709,1.3177274068196614,14,-14,-84,-75
-0.5439447402954102,0.6528732935587565,14,-21,-80,-65
0.10707263946533203,0.8337777455647787,0,-13,-86,-67
0.497409725189209,0.9356863021850585,-7,-12,-87,-66
